,disposition,period,time0bk,impact,duration,depth,prad,teq,insol,model_snr,steff,slogg,srad,ra,dec,kepmag
0,1,9.48803557,170.53875,0.146,2.9575,615.8,2.26,793.0,93.59,35.8,5455.0,4.467,0.927,291.93423,48.141651,15.347
1,1,54.4183827,162.51384,0.586,4.507,874.8,2.83,443.0,9.11,25.8,5455.0,4.467,0.927,291.93423,48.141651,15.347
2,0,19.89913995,175.850252,0.9690000000000001,1.7822,10829.0,14.6,638.0,39.3,76.3,5853.0,4.544,0.868,297.00482,48.134129,15.436
3,0,1.7369524530000002,170.30756499999995,1.276,2.40641,8079.2,33.46,1395.0,891.96,505.6,5805.0,4.564,0.7909999999999999,285.53461,48.28521,15.597
4,1,2.525591777,171.59555,0.701,1.6545,603.3,2.75,1406.0,926.16,40.9,6031.0,4.438,1.046,288.75488,48.2262,15.509
5,1,11.09432054,171.20116000000004,0.5379999999999999,4.5945,1517.5,3.9,835.0,114.81,66.5,6046.0,4.4860000000000015,0.972,296.28613,48.22467,15.714
6,1,4.13443512,172.97937,0.762,3.1402,686.0,2.77,1160.0,427.65,40.2,6046.0,4.4860000000000015,0.972,296.28613,48.22467,15.714
7,1,2.56658897,179.55437,0.755,2.4290000000000003,226.5,1.59,1360.0,807.74,15.0,6046.0,4.4860000000000015,0.972,296.28613,48.22467,15.714
8,0,7.36178958,132.25053,1.169,5.022,233.7,39.21,1342.0,767.22,47.7,6227.0,3.986,1.9580000000000002,298.86435,42.151569,12.66
9,1,16.06864674,173.621937,0.052000000000000005,3.5347,4914.3,5.76,600.0,30.75,161.9,5031.0,4.485,0.848,286.99948,48.37579,15.841
10,1,2.470613377,122.763305,0.818,1.7431900000000002,14231.0,13.04,1339.0,761.46,4304.3,5820.0,4.457,0.9640000000000001,286.80847,49.316399,11.338
11,1,2.204735417,121.35854170000002,0.22399999999999998,3.88864,6674.7,16.1,2048.0,4148.92,5945.9,6440.0,4.019,1.952,292.24728,47.969521,10.463
12,1,3.522498429,121.1194228,0.631,3.19843,9145.7,14.59,1521.0,1264.67,1741.5,6225.0,4.169,1.4509999999999998,281.28812,42.45108,13.563
13,1,3.709214104,133.98318,0.051,2.6302,131.1,1.16,1206.0,500.46,50.6,5833.0,4.407,1.022,295.64871,48.49556,12.772
14,0,11.521446064000001,170.839688,2.483,3.6399,17984.0,150.51,753.0,75.88,622.1,5795.0,4.5539999999999985,0.848,297.07993,47.597401,15.472
15,0,19.40393776,172.484253,0.804,12.2155,8918.7,7.18,523.0,17.69,214.7,5043.0,4.591,0.68,289.25821,47.635319,15.487
16,0,19.221388942,184.5521637,1.065,4.7984300000000015,74284.0,49.29,698.0,55.97,2317.0,6117.0,4.496,0.9470000000000001,295.81454,47.69035,15.341
17,0,16.46983774,180.881761,0.292,9.4378,10479.0,7.94,595.0,29.61,303.4,5152.0,4.517,0.7859999999999999,297.15442,47.668701,15.788
18,1,9.27358173,173.25815500000004,0.387,3.2875,1288.3,2.47,649.0,41.85,87.2,4856.0,4.583,0.696,288.13824,47.724449,15.302
19,1,6.02930329,171.602959,0.258,1.5821,1912.7,2.85,678.0,50.04,65.4,4537.0,4.648,0.672,283.71088,47.86327,15.784
20,0,2.696370652,170.73769,0.044000000000000004,3.6129,397.9,1.58,1066.0,305.34,48.2,4989.0,4.504,0.8190000000000001,283.76547,47.804298,15.269
21,1,5.349553819,171.80694,0.092,3.0278,831.0,2.55,919.0,168.99,60.6,5185.0,4.44,0.91,292.37613,47.880989,15.416
22,1,3.94105221,136.08661999999998,0.226,2.5984,363.3,1.7,1018.0,253.15,28.9,5185.0,4.44,0.91,292.37613,47.880989,15.416
23,1,8.10904807,132.8031,0.025,3.596,217.4,1.3,800.0,97.03,14.1,5185.0,4.44,0.91,292.37613,47.880989,15.416
